Well ,mTVDSS,WELL,mTVDSS,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),PRESS_PP.PSI                  :  Pore Pressure,Well Block Pressure (psi),Depletion_Type
106,,Raag-106,2943.675086,41.975,65.195,1304.789,60.49,110.524,13268.036,7261.682,26.803,70.577,20.026,0.286,10216.805,10383.794,6877.025,0.258,3027.978,13010.008,3323.796,16531.521,1.827,9047.809,7.471,5.022,5196.55,5165.008789,
106,,Raag-106,2946.492998,40.348,62.974,1232.09,65.232,116.09,12456.719,6999.512,21.45,57.184,18.378,0.269,10227.753,10402.037,6742.071,0.242,3010.881,12705.904,2958.015,15329.922,1.78,8613.983,6.766,4.409,5198.049,5166.297852,
106,,Raag-106,2949.311505,40.976,65.483,1259.746,63.372,112.415,12577.662,7090.452,22.045,57.649,19.225,0.267,10238.701,10414.178,6729.174,0.24,2484.624,11627.596,3111.387,15779.864,1.774,8895.642,7.066,4.666,5199.542,5167.587402,
106,,Raag-106,2952.131202,37.864,63.853,1127.621,72.945,121.287,10613.436,6383.192,12.266,31.155,16.041,0.217,10249.651,10444.663,6349.424,0.195,2426.476,10751.8,2419.692,13708.996,1.663,8244.94,5.661,3.505,5201.027,5168.876465,
106,,Raag-106,2954.9509,40.138,71.132,1222.983,65.86,110.803,11889.386,7066.907,16.144,41.475,19.44,0.227,10260.603,10452.21,6428.447,0.204,2087.484,10231.862,3035.3,15183.678,1.682,9024.994,6.918,4.538,5202.505,5163.696777,
106,,Raag-106,2957.770895,38.307,53.304,1145.735,71.525,127.185,10886.51,6122.218,17.049,43.553,14.672,0.269,10270.979,10446.836,6753.848,0.242,2517.307,11742.31,2298.477,13981.185,1.778,7862.563,5.4,3.302,5203.899,5166.224121,
106,,Raag-106,2960.591486,38.852,57.913,1168.307,69.805,122.332,11189.749,6385.149,17.041,43.67,15.909,0.259,10281.933,10462.161,6677.369,0.233,2651.149,11857.037,2488.783,14325.539,1.752,8174.51,5.808,3.621,5205.364,5167.520996,
106,,Raag-106,2963.412672,42.022,49.34,1306.909,60.359,121.002,13110.159,6539.689,33.257,86.341,16.473,0.334,10292.888,10440.391,7342.831,0.301,2840.574,13566.81,2763.098,16567.482,2.005,8264.292,6.376,4.082,5206.823,5168.819336,
106,,Raag-106,2966.234156,38.399,74.49,1149.496,71.234,113.001,10512.875,6627.212,9.231,22.681,17.876,0.17,10303.846,10516.554,6049.685,0.153,2482.297,10263.963,2612.964,14038.161,1.586,8849.518,6.068,3.83,5208.274,5170.117188,
106,,Raag-106,2969.056234,41.34,70.389,1276.001,62.311,108.342,12620.471,7258.476,20.893,53.905,20.42,0.253,10314.806,10498.209,6646.748,0.228,2566.563,11626.622,3297.149,16048.427,1.739,9230.014,7.421,4.978,5209.719,5176.753418,
