Well,Campaign,Pad,No. of Stages fracked,100 mesh,40-70,20-40,16-30,Total Proppant,Total Clean Volume,Total Slurry Volume,Total Net Pay covered (m),Total Kh covered (mDM),Total Net Pay covered (exc deferred stages) (m),Total Kh covered (excluding deferred stages) (m),Top of Topmost clstr (mMD),Bot of Botmost clstr (mMD),Top of Topmost clstr (mTVD),Bot of Botmost clstr (mTVD),Top of Topmost clstr (mTVDSS),Bot of Botmost clstr (mTVDSS),Water (Bpd),Oil (Bpd),Gas (MSCFD),FBHP at topmost perf,FBHP at topmost perf2,Reservoir Press at top perf,Drawdown (psi),Gas PI (MSCFD/psi),Remarks,Water_2 (Bpd),Oil_2 (Bpd),Gas_2 (MSCFD),FBHP at topmost perf_2,Reservoir Press at top perf_2,Drawdown_2 (psi),Gas PI_2 (MSCFD/psi),Water_3 (Bpd),Oil_3 (Bpd),Gas_3 (MSCFD),FBHP at topmost perf_3,Reservoir Press at top perf_3,Drawdown_3 (psi),Gas PI_3 (MSCFD/psi)
Raag-52z,42-W_North,4,7,0,0,"909,741","633,666","1,543,407","16,585","18,103",252.7,54.9,252.7,54.9,2879.2,3447.8,2731.6,3278.9,2670.2,3216.7,594,87,6369,2872,3201,5043,2171,2.9,,0,0,0,#DIV/0!,5043,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5043,#DIV/0!,#DIV/0!
Raag-53,42-W_North,4,9,0,0,"1,335,449","810,874","2,146,323","21,696","23,934",323,36.2,323,36.2,2923.2,3656,2703.1,3435.8,2641.7,3373.4,632.9,317.4,5258,3204,3726,5031,1827,2.9,,0,0,0,#DIV/0!,5031,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5031,#DIV/0!,#DIV/0!
Raag-54,42-W_South,8,6,0,0,"1,073,637","237,785","1,311,423","14,711","15,944",117,20.1,117,20.1,3042,3393.8,3027.1,3378.9,2970,3319,686.5,70,526,2582,#DIV/0!,5161,2579,0.2,,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!
Raag-55,42-W_South,8,3,0,0,"641,708","287,403","929,111","7,957","8,824",86.1,12.8,86.1,12.8,3176.7,3347.2,3107.2,3277.7,3050.2,3219.5,0,0,0,#DIV/0!,#DIV/0!,5193,,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5193,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5193,#DIV/0!,#DIV/0!
Raag-56,42-W_South,8,5,0,0,"834,240","448,745","1,282,985","12,506","13,700",127.2,11.1,127.2,11.1,3250.2,3602.5,3051.4,3370.9,2994.4,3312.4,0,0,0,#DIV/0!,#DIV/0!,5171,,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5171,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5171,#DIV/0!,#DIV/0!
Raag-57,42-W_South,8,4,0,0,"732,979","257,373","990,352","9,899","10,825",91.3,11.9,91.3,11.9,3083.5,3427.8,2968.9,3295.5,2911.9,3237.7,635.7,0,3019,2067,#DIV/0!,5138,3070,1,,0,0,0,#DIV/0!,5138,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5138,#DIV/0!,#DIV/0!
Raag-58,42-W_South,11,2,0,0,"345,693","199,321","545,014","5,979","6,486",42.8,9.9,42.8,9.9,3419.5,3547.8,3245,3373.3,3187.7,3315.2,0,0,0,#DIV/0!,#DIV/0!,5248,,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5248,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5248,#DIV/0!,#DIV/0!
Raag-59,42-W_South,11,4,0,0,"571,011","261,867","832,878","9,000","9,776",60.8,9.7,60.8,9.7,3072.2,3341.2,3027.8,3296.8,2970.5,3238.9,0,0,0,#DIV/0!,#DIV/0!,5161,,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5161,#DIV/0!,#DIV/0!
Raag-60,42-W_South,11,8,0,0,"1,258,165","705,517","1,964,717","20,869","22,701",162.9,44.2,162.9,44.2,2981.2,3398.8,2891.1,3308.6,2833.7,3250.5,1025.4,205.1,2086,2718,3109,5106,2389,0.9,,0,0,0,#DIV/0!,5106,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5106,#DIV/0!,#DIV/0!
Raag-61,42-W_South,11,5,0,0,"877,032","421,191","1,298,223","14,017","15,227",81.7,11.6,81.7,11.6,3088,3361.5,3020.5,3294,2963.2,3235.7,523.7,0,490,2387,2628,5158,2771,0.2,,0,0,0,#DIV/0!,5158,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5158,#DIV/0!,#DIV/0!
Raag-62,42-W_North,7,7,0,0,"1,285,652","836,512","2,123,263","19,100","21,069",241.8,54.8,241.8,54.8,3033,3544.3,2879.8,3391.1,2816,3327.3,700,350,2800,#DIV/0!,#DIV/0!,5102,2000,1.4,Bad PLT Data,0,0,0,#DIV/0!,5102,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5102,#DIV/0!,#DIV/0!
Raag-63,42-W_North,7,8,0,0,"1,284,603","920,790","2,205,393","21,403","23,612",340.6,43.7,340.6,43.7,2658.2,3484,2610.6,3436.4,2544.6,3369.6,449,374.2,7419,3421,3856,4994,1573,4.7,,0,0,0,#DIV/0!,4994,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,4994,#DIV/0!,#DIV/0!
Raag-64,42-W_North,7,8,0,0,"1,234,864","1,304,848","2,541,573","22,600","25,128",598.5,48.5,598.5,48.5,2663,3535,2581.3,3453.3,2515.3,3386.5,445.2,649.9,6517,3964,4483,4983,1019,6.4,,0,0,0,#DIV/0!,4983,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,4983,#DIV/0!,#DIV/0!
Raag-65,42-W_North,7,8,0,0,"1,026,138","1,212,011","2,238,149","20,392","22,595",322.5,26.8,290.2,26.3,2742,3576,2570.6,3404.6,2504.6,3337.6,200,100,1000,#DIV/0!,#DIV/0!,4978,2000,0.5,Bad PLT Data,0,0,0,#DIV/0!,4978,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,4978,#DIV/0!,#DIV/0!
Raag-66z,42-W_North,7,8,0,0,"1,297,381","1,027,976","2,325,357","21,654","23,978",313.7,50.6,313.7,50.6,2756.2,3545.8,2660.7,3450.3,2596.9,3385.7,618.4,465.8,5086,3560,4038,5014,1454,3.5,,0,0,0,#DIV/0!,5014,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5014,#DIV/0!,#DIV/0!
Raag-67,42-W_North,7,8,0,0,"937,880","925,882","1,863,762","20,264","22,265",245.4,25.4,245.4,25.4,2942.4,3655.6,2742.8,3454.3,2679,3388.9,609.1,225.9,5647,2842,3385,5047,2205,2.6,,0,0,0,#DIV/0!,5047,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5047,#DIV/0!,#DIV/0!
Raag-68,42-W_North,5,7,0,0,"711,459","789,684","1,501,142","16,182","17,671",209.5,63.3,209.5,63.3,2964,3566.5,2834.2,3436.7,2774.4,3375.4,457,283.8,6923,3473,3859,5084,1611,4.3,,0,0,0,#DIV/0!,5084,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5084,#DIV/0!,#DIV/0!
Raag-69,42-W_North,5,6,0,0,"1,012,522","462,738","1,475,260","12,788","16,904",193.4,38.5,193.4,38.5,3054.8,3384.3,2908.1,3237.6,2848.2,3177.1,286.6,333.2,5283,2101,#DIV/0!,5113,3012,1.8,,0,0,0,#DIV/0!,5113,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5113,#DIV/0!,#DIV/0!
Raag-70,42-W_North,5,7,0,0,"867,982","660,920","1,528,904","16,820","18,349",193,23.3,193,23.3,3000.5,3503,2935.3,3437.8,2875.4,3376.4,1056.6,271.2,1300,2781,3249,5124,2344,0.6,,0,0,0,#DIV/0!,5124,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5124,#DIV/0!,#DIV/0!
Raag-71,42-W_North,5,6,0,0,"1,063,999","373,938","1,437,937","17,248","18,708",196.2,33.5,196.2,33.5,2917.3,3532.6,2872.4,3487.7,2812.5,3427,743.9,277.8,3097,2418,#DIV/0!,5099,2681,1.2,,0,0,0,#DIV/0!,5099,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5099,#DIV/0!,#DIV/0!
Raag-72,42-W_South,8,5,0,0,"1,220,732","928,927","2,149,659","19,583","21,572",0,0,0,0,3187,3912,3068.2,3792.6,3011.2,3732.6,0,0,0,#DIV/0!,#DIV/0!,5177,#DIV/0!,#DIV/0!,No PLT due to high H2S,0,0,0,#DIV/0!,5177,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5177,#DIV/0!,#DIV/0!
Raag-73,42-W_South,11,6,0,0,"1,082,884","491,866","1,574,750","16,064","17,533",164.2,32.7,164.2,32.7,2993,3381.1,2906.1,3294.2,2848.7,3236.2,1185.5,337.8,4148,2606,2944,5112,2507,1.7,,0,0,0,#DIV/0!,5112,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5112,#DIV/0!,#DIV/0!
