Well,Campaign,Pad,No. of Stages fracked,100 mesh,40-70,20-40,16-30,Total Proppant,Total Clean Volume,Total Slurry Volume,Total Net Pay covered (m),Total Kh covered (mDM),Total Net Pay covered (exc deferred stages) (m),Total Kh covered (excluding deferred stages) (m),Top of Topmost clstr (mMD),Bot of Botmost clstr (mMD),Top of Topmost clstr (mTVD),Bot of Botmost clstr (mTVD),Top of Topmost clstr (mTVDSS),Bot of Botmost clstr (mTVDSS),Water (Bpd),Oil (Bpd),Gas (MSCFD),FBHP at topmost perf,FBHP at topmost perf2,Reservoir Press at top perf,Drawdown (psi),Gas PI (MSCFD/psi),Remarks,Water_2 (Bpd),Oil_2 (Bpd),Gas_2 (MSCFD),FBHP at topmost perf_2,Reservoir Press at top perf_2,Drawdown_2 (psi),Gas PI_2 (MSCFD/psi),Water_3 (Bpd),Oil_3 (Bpd),Gas_3 (MSCFD),FBHP at topmost perf_3,Reservoir Press at top perf_3,Drawdown_3 (psi),Gas PI_3 (MSCFD/psi)
Raag-88,27-Well,4,6,"34,243",0,"1,042,618","535,585","1,612,446","16,525","18,201",193,22,193,22,2793.1,3435,2710,3341.7,2645.6,3275.5,19.7,367.9,4100,3021,#DIV/0!,5034,2013,2,,0,0,0,#DIV/0!,5034,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5034,#DIV/0!,#DIV/0!
Raag-89,27-Well,5,6,"27,466",0,"973,519","586,837","1,587,822","17,148","18,669",216,30,216,30,2951,3503.2,2909.8,3451.4,2849.9,3390.2,57.4,369.8,6185,2752,#DIV/0!,5114,2362,2.6,,0,0,0,#DIV/0!,5114,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5114,#DIV/0!,#DIV/0!
Raag-90,27-Well,4,7,"37,543",0,"1,242,585","897,512","2,177,640","21,172","23,417",233,50,233,50,3098.8,3635,2843.2,3366,2778.7,3298.5,179.1,191.7,4893,2497,2829,5087,2591,1.9,,0,0,0,#DIV/0!,5087,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5087,#DIV/0!,#DIV/0!
Raag-91,27-Well,5,5,"30,967",0,"849,239","570,027","1,450,233","15,404","16,889",175,35,175,35,2970,3519,2849,3398,2788.8,3337.2,113,0,3,3173,3789,5090,1917,0,,0,0,0,#DIV/0!,5090,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5090,#DIV/0!,#DIV/0!
Raag-92,27-Well,5,7,"24,869",0,"975,055","612,915","1,612,839","17,312","18,938",230,38,230,38,2860,3392.9,2786,3318.9,2726.6,3259,124,261,4159,2279,2509,5064,2785,1.5,,0,0,0,#DIV/0!,5064,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5064,#DIV/0!,#DIV/0!
Raag-93,27-Well,5,9,"40,914",0,"1,451,052","994,457","2,486,423","25,196","27,767",317,56,317,56,3096.5,3755.8,2805.5,3464.8,2745.2,3403.7,0,0,0,#DIV/0!,#DIV/0!,5072,#DIV/0!,#DIV/0!,,0,0,0,#DIV/0!,5072,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5072,#DIV/0!,#DIV/0!
Raag-95,27-Well,5,7,"28,447",0,"1,093,498","581,542","1,703,487","18,319","20,126",237,45,237,45,3139,3674,2929,3457,2870.6,3391.5,140.1,374.1,5555,2468,2766,5122,2654,2.1,,0,0,0,#DIV/0!,5122,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5122,#DIV/0!,#DIV/0!
Raag-94,27-Well,7,9,"48,909",0,"1,432,154","883,952","2,365,015","25,794","28,218",311,45,311,45,2716,3584,2672.2,3527.2,2605.4,3459.4,0,0,0,#DIV/0!,#DIV/0!,5019,#DIV/0!,#DIV/0!,,0,0,0,#DIV/0!,5019,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5019,#DIV/0!,#DIV/0!
Raag-96,27-Well,7,7,"42,882",0,"1,068,475","692,148","1,803,505","19,729","21,803",216,28,216,28,2722,3359.5,2699.9,3330,2633.1,3262.2,242,432.1,6799,3077,3309,5030,1953,3.5,,0,0,0,#DIV/0!,5030,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5030,#DIV/0!,#DIV/0!
Raag-98,27-Well,7,9,"27,896",0,"1,469,962","907,568","2,405,426","24,246","26,634",298,55,298,55,2688,3584.8,2642,3526.4,2575.2,3458.8,669.6,845.6,5378,3376,4064,5007,1631,3.3,,0,0,0,#DIV/0!,5007,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5007,#DIV/0!,#DIV/0!
Raag-100,27-Well,7,9,"37,321",0,"1,543,082","987,341","2,567,743","27,010","29,389",344,65,344,65,2723.8,3537.4,2702.2,3515.8,2635.4,3447.6,159.3,498.8,3598,3345,3839,5031,1686,2.1,,0,0,0,#DIV/0!,5031,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5031,#DIV/0!,#DIV/0!
Raag-102,27-Well,7,10,"46,535",0,"1,374,438","862,637","2,283,610","25,095","27,193",355,43,355,43,2830,3695,2664.1,3529.1,2597.3,3460.3,0,0,0,#DIV/0!,#DIV/0!,5016,#DIV/0!,#DIV/0!,,0,0,0,#DIV/0!,5016,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5016,#DIV/0!,#DIV/0!
Raag-97,27-Well,2,8,"25,398","25,785","1,358,022","813,590","2,222,791","24,966","27,122",304.7,56.2,304.7,56.2,3016.5,3770,2714.4,3467.9,2655.2,3402.7,0,0,0,#DIV/0!,#DIV/0!,5036,#DIV/0!,#DIV/0!,,0,0,0,#DIV/0!,5036,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5036,#DIV/0!,#DIV/0!
Raag-99,27-Well,2,8,"24,873","25,406","1,262,021","930,077","2,242,379","23,457","25,780",328.9,45.8,328.9,45.8,2972.5,3744,2819.8,3486.5,2760.6,3424.9,0,0,0,#DIV/0!,#DIV/0!,5078,#DIV/0!,#DIV/0!,,0,0,0,#DIV/0!,5078,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5078,#DIV/0!,#DIV/0!
Raag-101,27-Well,2,6,"16,001","15,206","855,671","455,108","1,341,988","14,502","15,927",228.8,26.3,198.8,19.9,2970.8,3549,2870.7,3405.9,2811.6,3345.8,0,0,0,#DIV/0!,#DIV/0!,5098,#DIV/0!,#DIV/0!,,0,0,0,#DIV/0!,5098,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5098,#DIV/0!,#DIV/0!
Raag-103,27-Well,2,6,"19,943","19,704","1,050,890","608,723","1,699,260","19,673","21,331",229.4,42.1,229.4,42.1,3162.4,3625,2888.2,3350.8,2829,3288.6,0,0,0,#DIV/0!,#DIV/0!,5105,#DIV/0!,#DIV/0!,,0,0,0,#DIV/0!,5105,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5105,#DIV/0!,#DIV/0!
Raag-104,27-Well,2,8,"28,519","24,659","1,343,025","802,349","2,198,551","24,432","26,441",319.5,131.9,319.5,131.9,2997,3704,2804.4,3511.1,2745.2,3446,0,0,0,#DIV/0!,#DIV/0!,5072,#DIV/0!,#DIV/0!,,0,0,0,#DIV/0!,5072,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,5072,#DIV/0!,#DIV/0!
