Frac Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrophysical Details,,,,,,,Depth Details,,,,,,,,First PLT Details,,,,,,,,,,,,Second PLT Details,,,,,,,,,,,PLT Details (2021-22),,,,,,,,,,
Campaign,Well,Pad,Stage,Date of Frac,Formation,No. of Clusters,Total Holes,Max Injection Rate,Pre-Frac BH ISIP Grad,MF BH ISIP Grad,Design Proppant ,100 Mesh,40-70,20-40,16-30,Actual Proppant,Max PPA,Clean Volume,Slurry Volume,Total XL Fluid,Max HHP,Frac Pumped,Refrac,SRT,SDT,DFIT / MFO,MinFrac / Datafrac,Temp Survey,DFIT Signature (PDL/HR/Normal/Other),Transmissibility (if ACA for DFIT done),Flush called @ PPA,Remarks,Net Pay (m),Net Pay fraction (%),Stage Kh (mDM),Stage Kh fraction (%),Stage Permeability (MD),Proppant per Net pay (Actual),Remarks_2,Top of Topmost clstr (mMD),Bot of Botmost clstr (mMD),Spread of Stage,Top of Topmost clstr (mTVD),Bot of Botmost clstr (mTVD),Topmost Cluster (mTVDSS),Topmost Cluster (Northing),Topmost Cluster (Easting),Date of PLT/FGS,Water (bpd),Water Contri (%),Oil (bpd),Oil Contri (%),Gas (MSCFD),Gas Contri (%),BHP (psia),Reservoir Pressure (psia),Gas PI (SCFD/psi),No. of Contributing Clusters (during 1st PLT),First PLT Remark,Date of PLT/FGS_2,Water_2 (bpd),Water Contri_2 (%),Oil_2 (bpd),Oil Contri_2 (%),Gas_2 (MSCFD),Gas Contri_2 (%),BHP_2 (psia),Reservoir Pressure_2 (psia),Gas PI_2 (SCFD/psi),Secod PLT Remark,Date of PLT/FGS_3,Water_3 (bpd),Water Contri_3 (%),Oil_3 (bpd),Oil Contri_3 (%),Gas_3 (MSCFD),Gas Contri_3 (%),BHP_3 (psia),Reservoir Pressure_3 (psia),Gas PI_3 (SCFD/psi),PLT (2021-22) Remark
42-W_South,Raag-43,11,1,02/Jan/2020,Felsic + Basalt,4,24,17.4,0.88,0.90,"250,000",0,,"162,187 ","90,369 ","252,556 ",7.8,2660,2899,,"4,588 ",Yes,No,Yes,Yes,No,No,Yes,,,0.0,,26.9,18%,-,#VALUE!,-,"9,376",,3553.0,3632.6,79.6,3420.0,3499.6,3362.8,835791.7,2519995.4,16-Apr-20,65.8,22.52%,0.0,#DIV/0!,0.0,0.00%,4608,5318,0.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5318,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5318,#DIV/0!,
42-W_South,Raag-44,11,6,17/Jan/2020,Fatehgarh,4,30,32.7,N/A,0.80,"307,291",0,,"165,834 ","144,153 ","309,987 ",8.1,2860,3136,,"5,019 ",Yes,No,No,No,No,No,No,,,0.0,,34.5,19%,13.4,34%,0.392,"8,987",,3295.0,3366.8,71.8,3054.8,3126.6,2997.6,834927.9,2520611.1,19-Mar-20,47.0,7.71%,56.0,11.13%,123.4,2.87%,2133,5172,40.6,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5172,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5172,#DIV/0!,
42-W_South,Raag-44,11,5,15/Jan/2020,Basalt,3,24,24.1,N/A,1.00,"211,185",0,,"163,997 ","52,629 ","216,626 ",6.5,2525,2718,,"4,257 ",Yes,No,No,No,No,No,Yes,,,0.0,,20.4,11%,4.2,11%,0.205,"10,594",,3409.4,3433.8,24.4,3169.2,3193.6,3112.0,834927.8,2520611.1,19-Mar-20,92.5,15.17%,124.0,24.65%,3594.3,83.64%,2168,5218,1178.5,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5218,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5218,#DIV/0!,
42-W_South,Raag-44,11,4,13/Jan/2020,Basalt,5,25,24.1,N/A,S/O,"305,527",0,,"157,643 ","57,450 ","215,093 ",6.8,2460,2651,,"5,103 ",Yes,No,No,No,Yes,No,No,,,6.0,,29.1,16%,5.4,14%,0.187,"7,392",,3461.0,3510.5,49.5,3220.8,3270.3,3163.6,834927.6,2520611.1,19-Mar-20,37.0,6.07%,140.3,27.89%,242.6,5.65%,2203,5238,79.9,5,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5238,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5238,#DIV/0!,
42-W_South,Raag-44,11,3,12/Jan/2020,Basalt,4,28,24.1,N/A,0.94,"305,527",0,,"161,380 ","152,290 ","313,670 ",8.5,2858,3138,,"4,321 ",Yes,No,No,No,No,No,No,,,0.0,,42.0,23%,7.6,19%,0.183,"7,460",,3531.0,3595.8,64.8,3290.8,3355.6,3233.6,834927.6,2520611.3,19-Mar-20,305.0,50.03%,182.7,36.32%,326.9,7.61%,2271,5266,109.1,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5266,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5266,#DIV/0!,
42-W_South,Raag-44,11,2,11/Jan/2020,Basalt,3,26,24.2,N/A,0.82,"305,527",0,,"163,910 ","145,020 ","308,930 ",8.5,2880,3156,,"3,949 ",Yes,No,No,No,No,Yes,Yes,,,0.0,,57.9,31%,9.0,23%,0.160,"5,332",,3629.8,3642.6,12.8,3389.6,3402.4,3332.4,834927.7,2520611.4,19-Mar-20,128.1,21.01%,0.0,0.00%,10.0,0.23%,2385,5306,3.4,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5306,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5306,#DIV/0!,
42-W_North,Raag-45,1,8,11/Dec/2020,Basalt + Fatehgarh,3,32,30.2,0.78,0.85,"315,000",0,,"187,919 ","128,916 ","316,835 ",8.1,2815,3108,,"4,981 ",Yes,No,Yes,Yes,No,No,No,,,,,47.7,14%,13.3,20%,0.280,"6,646",,2965.2,3000.0,34.8,2825.1,2859.9,2764.4,836741.4,2518185.6,21-Dec-20,,,,,,,,5080,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5080,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5080,#DIV/0!,
42-W_North,Raag-45,1,7,10/Dec/2020,Basalt,4,32,30.2,N/A,0.81,"315,000",0,,"187,663 ","129,805 ","317,468 ",8.6,2781,3165,,"5,446 ",Yes,No,Yes,Yes,No,No,No,,,,,35.2,10%,7.5,11%,0.214,"9,022",,3031.0,3087.8,56.8,2890.9,2947.7,2830.2,836741.4,2518185.3,21-Dec-20,,,,,,,,5106,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5106,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5106,#DIV/0!,
42-W_North,Raag-45,1,6,09/Dec/2020,Basalt,4,32,30.3,0.75,0.87,"315,000",0,,"218,770 ","91,875 ","310,645 ",7.5,2973,3263,,"5,721 ",Yes,No,Yes,Yes,No,No,No,,,,,57.7,17%,14.5,22%,0.252,"5,385",,3125.8,3185.0,59.2,2985.7,3044.9,2925.0,836741.4,2518184.9,21-Dec-20,,,,,,,,5144,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5144,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5144,#DIV/0!,
42-W_North,Raag-45,1,5,09/Dec/2020,Basalt,3,30,30.1,0.75,0.81,"315,000",0,,"190,732 ","126,460 ","317,192 ",8.0,2845,3139,,"5,730 ",Yes,No,Yes,Yes,No,No,No,,,,,52.4,15%,10.7,16%,0.205,"6,059",,3213.0,3246.0,33.0,3072.9,3105.9,3012.2,836741.4,2518184.9,21-Dec-20,,,,,,,,5179,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5179,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5179,#DIV/0!,
42-W_North,Raag-45,1,4,07/Dec/2020,Basalt,2,30,30.0,0.81,0.87,"300,000",0,,"49,369 ",0 ,"49,369 ",3.0,1743,1790,,-,Yes,No,Yes,Yes,No,No,No,,,,,26.1,8%,4.7,7%,0.182,"1,895",,3282.0,3290.5,8.5,3141.9,3150.4,3081.2,836741.4,2518184.7,21-Dec-20,,,,,,,,5207,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5207,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5207,#DIV/0!,
42-W_North,Raag-45,1,3,06/Dec/2020,Basalt,2,30,30.1,0.78,0.84,"315,000",0,,"132,456 ","186,288 ","318,744 ",8.4,2844,3139,,"5,769 ",Yes,No,Yes,Yes,No,No,No,,,,,42.1,12%,6.6,10%,0.161,"7,580",,3342.0,3371.5,29.5,3201.9,3231.4,3141.2,836741.2,2518184.7,21-Dec-20,,,,,,,,5231,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5231,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5231,#DIV/0!,
42-W_North,Raag-45,1,2,05/Dec/2020,Basalt,2,32,30.6,0.74,0.82,"215,000",0,,"159,705 ","57,192 ","216,897 ",5.2,2528,2731,,"5,849 ",Yes,No,Yes,Yes,No,No,No,,,,,19.0,6%,3.1,5%,0.166,"11,440",,3397.2,3423.5,26.3,3257.1,3283.4,3196.4,836741.0,2518184.7,21-Dec-20,,,,,,,,5253,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5253,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5253,#DIV/0!,
42-W_North,Raag-45,1,1,30/Nov/2020,Felsic,3,32,30.0,0.71,0.82,"315,000",0,,"187,435 ","130,076 ","317,511 ",7.1,3027,3322,,"4,929 ",Yes,No,Yes,Yes,No,No,No,,,,,58.5,17%,7.0,10%,0.120,"5,427",,3474.6,3523.0,48.4,3334.5,3382.9,3273.8,836740.7,2518184.5,21-Dec-20,,,,,,,,5284,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5284,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5284,#DIV/0!,
42-W_North,Raag-46,1,7,18/Dec/2020,Basalt,3,30,30.1,N/A,0.97,"155,000",0,,"157,246 ",0 ,"157,246 ",6.2,2030,2179,,"5,201 ",Yes,No,No,No,No,No,No,,,,,25.2,18%,3.2,12%,0.132,"6,251",,3242.8,3271.0,28.2,3017.7,3045.9,2957.0,837439.5,2519382.4,13-Jan-21,62.5,10.71%,0.0,#DIV/0!,0.0,0.00%,4306,5157,0.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5157,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5157,#DIV/0!,
42-W_North,Raag-46,1,6,17/Dec/2020,Basalt,2,30,20.9,N/A,1.07,"300,000",0,,"129,343 ",0 ,"130,401 ",4.2,2991,3115,,"6,513 ",Yes,Yes,No,No,No,No,No,,,,"Only 1058 lbs of LSP 40/70 was pumped in first attempt, 2nd attempt sucessful",15.8,11%,1.5,6%,0.101,"8,232",,3296.0,3313.5,17.5,3070.9,3088.4,3010.2,837440.8,2519381.7,13-Jan-21,9.1,1.56%,0.0,#DIV/0!,0.0,0.00%,4373,5178,0.0,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5178,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5178,#DIV/0!,
42-W_North,Raag-46,1,5,16/Dec/2020,Basalt,3,32,20.3,N/A,1.18,"230,000",0,,"161,782 ","67,657 ","230,664 ",6.4,2767,2982,,"4,270 ",Yes,No,No,No,No,No,No,,,,1225 lbs of LSP 40/70 was also pumped,23.8,17%,5.0,19%,0.224,"9,676",,3370.0,3413.0,43.0,3144.8,3187.8,3084.1,837443.7,2519379.6,13-Jan-21,82.7,14.17%,0.0,#DIV/0!,93.3,100.00%,4465,5208,125.6,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5208,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5208,#DIV/0!,
42-W_North,Raag-46,1,4,15/Dec/2020,Basalt,2,32,30.3,N/A,1.29,"315,000",0,,"174,381 ",0 ,"174,381 ",5.3,2352,2518,,"6,130 ",Yes,No,No,No,No,No,No,,,,,24.8,18%,6.3,24%,0.268,"7,025",,3440.0,3447.8,7.8,3214.7,3222.5,3154.0,837444.4,2519376.5,13-Jan-21,80.0,13.71%,0.0,#DIV/0!,0.0,0.00%,4558,5236,0.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5236,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5236,#DIV/0!,
42-W_North,Raag-46,1,3,14/Dec/2020,Basalt,4,32,27.3,N/A,0.89,"230,000",0,,"188,207 ","44,345 ","232,552 ",6.9,2460,2679,,"4,635 ",Yes,No,No,No,No,No,No,,,,,11.9,8%,2.5,10%,0.228,"19,575",,3480.0,3525.8,45.8,3254.7,3300.4,3194.0,837444.9,2519374.6,13-Jan-21,349.4,59.86%,0.0,#DIV/0!,0.0,0.00%,4612,5252,0.0,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5252,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5252,#DIV/0!,
42-W_North,Raag-46,1,2,13/Dec/2020,Basalt,3,32,30.4,N/A,0.84,"315,000",0,,"234,739 ","85,134 ","319,873 ",8.1,2844,3140,,"5,420 ",Yes,No,No,No,No,No,No,,,,,26.7,19%,5.7,22%,0.220,"11,991",,3547.0,3583.8,36.8,3321.6,3358.4,3260.9,837445.1,2519371.6,13-Jan-21,,,,,,,,5279,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5279,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5279,#DIV/0!,
42-W_North,Raag-46,1,1,12/Dec/2020,Basalt,4,32,20.1,0.95,1.11,"250,000",0,,"59,249 ",0 ,"60,354 ",2.1,2178,2235,,"4,200 ",Yes,No,Yes,Yes,No,No,Yes,,,,1105 lbs of 40/70 LSP was also pumped,11.8,8%,1.6,6%,0.127,"5,097",,3616.0,3675.2,59.2,3390.5,3449.7,3329.8,837445.9,2519368.6,13-Jan-21,,,,,,,,5306,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5306,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5306,#DIV/0!,
42-W_North,Raag-47,1,5,17/Dec/2020,Basalt,3,30,24.2,N/A,0.97,"150,000",0,,"150,079 ",0 ,"151,211 ",5.1,2362,2506,,"4,648 ",Yes,No,No,No,No,No,No,,,,1132 lbs of LSP 40/70 was also pumped,14.0,12%,2.6,11%,0.204,"10,785",,3273.8,3320.0,46.2,3086.7,3132.9,3026.0,836873.4,2519800.1,04-Jan-21,160.2,33.94%,0.0,#DIV/0!,0.0,#DIV/0!,4467,5185,0.0,1,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5185,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5185,#DIV/0!,
42-W_North,Raag-47,1,4,16/Dec/2020,Basalt,3,30,24.1,N/A,0.94,"165,000",0,,"163,636 ",0 ,"164,738 ",5.2,2400,2557,,"4,219 ",Yes,No,No,No,No,No,No,,,,1102 lbs of LSP 40/70 was also pumped,17.1,14%,3.2,14%,0.196,"9,651",,3339.6,3380.8,41.2,3152.5,3193.7,3091.8,836872.5,2519799.4,04-Jan-21,129.6,27.46%,0.0,#DIV/0!,0.0,#DIV/0!,4556,5211,0.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5211,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5211,#DIV/0!,
42-W_North,Raag-47,1,3,15/Dec/2020,Basalt,4,32,30.1,N/A,1.04,"290,000",0,,"188,681 ","103,220 ","291,901 ",7.4,2594,3039,,"6,010 ",Yes,No,No,No,No,No,No,,,,,26.4,22%,4.5,19%,0.177,"11,074",,3403.0,3440.3,37.3,3215.9,3253.2,3155.2,836871.7,2519798.9,04-Jan-21,182.2,38.60%,0.0,#DIV/0!,0.0,#DIV/0!,4642,5236,0.0,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5236,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5236,#DIV/0!,
42-W_North,Raag-47,1,2,14/Dec/2020,Basalt,4,32,24.3,N/A,0.97,"230,000",0,,"179,345 ","55,236 ","235,482 ",5.2,2949,3170,,"4,491 ",Yes,No,No,No,No,No,No,,,,,20.9,17%,4.0,17%,0.197,"11,283",,3507.2,3566.8,59.6,3320.1,3379.6,3259.4,836870.2,2519797.7,04-Jan-21,,,,,,,,5278,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5278,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5278,#DIV/0!,
42-W_North,Raag-47,1,1,12/Dec/2020,Basalt,3,32,20.1,N/A,1.04,"315,000",0,,"200,037 ","114,514 ","315,621 ",8.1,3064,3357,,"3,890 ",Yes,No,No,No,No,No,No,,,,1070 lbs of LSP 40/70 was also pumped,41.7,35%,8.7,38%,0.217,"7,562",,3587.2,3627.4,40.2,3400.0,3440.2,3339.3,836868.3,2519795.1,04-Jan-21,,,,,,,,5310,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5310,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5310,#DIV/0!,
42-W_North,Raag-48,1,6,07/Dec/2020,Basalt,4,32,27.4,N/A,1.33,"270,000",0,,"79,491 ",8 ,"79,499 ",3.0,3399,3476,,"5,861 ",Yes,Yes,Yes,Yes,No,No,No,,,,,25.0,13%,3.9,11%,0.161,"3,175",,3199.5,3252.8,53.3,3027.9,3081.2,2967.2,836185.8,2519592.4,16-Dec-20,0.0,0.00%,0.0,#DIV/0!,0.0,#DIV/0!,4450,5161,0.0,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5161,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5161,#DIV/0!,
42-W_North,Raag-48,1,5,06/Dec/2020,Basalt,3,32,30.1,0.82,0.98,"315,000",0,,"183,071 ","135,614 ","318,685 ",8.3,2936,3231,,"6,177 ",Yes,No,Yes,Yes,No,No,No,,,,,38.4,20%,6.4,19%,0.170,"8,303",,3276.0,3326.8,50.8,3104.4,3155.2,3043.7,836186.0,2519590.1,16-Dec-20,0.0,0.00%,0.0,#DIV/0!,0.0,#DIV/0!,4553,5192,0.0,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5192,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5192,#DIV/0!,
42-W_North,Raag-48,1,4,05/Dec/2020,Basalt,4,92,11.6,N/A,1.15,"215,000",0,,0 ,0 ,0 ,0.0,1018,1018,,-,No,Yes,Yes,Yes,No,No,No,,,,,19.8,10%,4.2,12%,0.206,0,,3376.4,3415.0,38.6,3204.8,3243.3,3144.1,836186.9,2519587.3,16-Dec-20,0.0,0.00%,0.0,#DIV/0!,0.0,#DIV/0!,4688,5232,0.0,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5232,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5232,#DIV/0!,
42-W_North,Raag-48,1,3,03/Dec/2020,Basalt,3,32,30.0,0.87,1.06,"315,000",0,,"186,517 ","131,500 ","318,017 ",8.0,2944,3238,,"6,171 ",Yes,No,Yes,Yes,No,No,No,,,,,40.6,21%,7.5,22%,0.185,"7,835",,3434.5,3465.0,30.5,3262.8,3293.3,3202.1,836187.8,2519586.8,16-Dec-20,129.3,41.17%,0.0,#DIV/0!,0.0,#DIV/0!,4766,5255,0.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5255,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5255,#DIV/0!,
42-W_North,Raag-48,1,2,02/Dec/2020,Basalt,3,32,30.1,0.89,0.94,"315,000",0,,"186,395 ","129,712 ","316,107 ",8.1,3000,3293,,"6,303 ",Yes,No,Yes,Yes,No,No,No,,,,,33.2,17%,7.1,20%,0.214,"9,524",,3508.5,3542.5,34.0,3336.8,3370.8,3276.1,836189.4,2519587.2,16-Dec-20,43.9,13.98%,0.0,#DIV/0!,0.0,#DIV/0!,4866,5285,0.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5285,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5285,#DIV/0!,
42-W_North,Raag-48,1,1,30/Nov/2020,Basalt,4,34,30.2,0.74,0.87,"315,000",0,,"188,171 ","128,389 ","316,560 ",7.3,2934,3228,,"4,929 ",Yes,No,Yes,Yes,No,No,No,,,,,33.5,18%,5.4,16%,0.167,"9,455",,3566.2,3615.3,49.1,3394.5,3443.6,3333.8,836191.4,2519587.8,16-Dec-20,140.9,44.86%,0.0,#DIV/0!,0.0,#DIV/0!,4944,5308,0.0,4,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5308,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5308,#DIV/0!,
42-W_North,Raag-49,1,6,25/Dec/2020,Fatehgarh,4,34,30.1,N/A,0.91,"315,000",0,,"186,232 ","130,262 ","316,494 ",8.1,2874,3167,,"5,588 ",Yes,No,No,No,No,No,No,,,,,29.9,22%,4.7,21%,0.207,"10,586",,3211.8,3254.8,43.0,3011.5,3054.5,2950.8,836486.4,2519875.3,26-Jan-21,504.8,57.32%,23.1,27.76%,1745.9,91.64%,2554,5155,671.4,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5155,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5155,#DIV/0!,
42-W_North,Raag-49,1,5,24/Dec/2020,Fatehgarh,4,34,30.0,N/A,1.19,"315,000",0,,"193,240 ","109,067 ","302,307 ",6.7,3025,3268,,"6,830 ",Yes,No,No,No,No,No,No,,,,,30.7,23%,5.6,25%,0.184,"9,860",,3292.8,3340.8,48.0,3092.5,3140.5,3031.8,836486.5,2519875.2,26-Jan-21,375.9,42.68%,60.0,72.24%,159.2,8.36%,2644,5187,62.6,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5187,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5187,#DIV/0!,
42-W_North,Raag-49,1,4,22/Dec/2020,Basalt + Fatehgarh,3,32,30.1,N/A,1.15,"260,000",0,,"165,158 ","67,207 ","232,365 ",5.4,2807,3024,,"6,719 ",Yes,No,No,No,No,No,No,,,,,23.8,18%,3.7,17%,0.156,"9,780",,3363.4,3396.8,33.4,3163.1,3196.5,3102.4,836486.3,2519874.5,26-Jan-21,,,,,,,,5215,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5215,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5215,#DIV/0!,
42-W_North,Raag-49,1,3,21/Dec/2020,Basalt,3,33,24.0,N/A,1.19,"180,000",0,,"182,381 ",0 ,"183,441 ",6.1,2616,2790,,"5,419 ",Yes,No,No,No,No,No,No,,,,1060 lbs of LSP 40/70 was also pumped,16.3,12%,2.0,9%,0.120,"11,247",,3423.7,3446.5,22.8,3223.4,3246.2,3162.7,836486.2,2519874.4,26-Jan-21,,,,,,,,5239,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5239,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5239,#DIV/0!,
42-W_North,Raag-49,1,2,20/Dec/2020,Basalt,3,32,22.3,N/A,1.18,"155,000",0,,"154,468 ",0 ,"155,495 ",5.3,2485,2634,,"5,057 ",Yes,No,No,No,No,No,No,,,,1027 lbs of LSP 40/70 was also pumped,14.2,10%,2.4,11%,0.167,"10,989",,3505.0,3541.7,36.7,3304.7,3341.4,3244.0,836486.2,2519874.2,26-Jan-21,,,,,,,,5272,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5272,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5272,#DIV/0!,
42-W_North,Raag-49,1,1,18/Dec/2020,Basalt,3,32,12.0,N/A,1.17,"225,000",0,,"26,125 ",0 ,"27,185 ",1.6,2018,2045,,"6,241 ",Yes,Yes,No,No,No,No,Yes,,,,Only 1060 lbs of LSP 40/70 could be pumped in 1st attempt,20.4,15%,3.8,17%,0.186,"1,330",,3576.5,3610.2,33.7,3376.2,3409.9,3315.5,836486.2,2519873.8,26-Jan-21,,,,,,,,5300,,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5300,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5300,#DIV/0!,
