Frac Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrophysical Details,,,,,,,Depth Details,,,,,,,,First PLT Details,,,,,,,,,,,,Second PLT Details,,,,,,,,,,,PLT Details (2021-22),,,,,,,,,,
Campaign,Well,Pad,Stage,Date of Frac,Formation,No. of Clusters,Total Holes,Max Injection Rate,Pre-Frac BH ISIP Grad,MF BH ISIP Grad,Design Proppant ,100 Mesh,40-70,20-40,16-30,Actual Proppant,Max PPA,Clean Volume,Slurry Volume,Total XL Fluid,Max HHP,Frac Pumped,Refrac,SRT,SDT,DFIT / MFO,MinFrac / Datafrac,Temp Survey,DFIT Signature (PDL/HR/Normal/Other),Transmissibility (if ACA for DFIT done),Flush called @ PPA,Remarks,Net Pay (m),Net Pay fraction (%),Stage Kh (mDM),Stage Kh fraction (%),Stage Permeability (MD),Proppant per Net pay (Actual),Remarks_2,Top of Topmost clstr (mMD),Bot of Botmost clstr (mMD),Spread of Stage,Top of Topmost clstr (mTVD),Bot of Botmost clstr (mTVD),Topmost Cluster (mTVDSS),Topmost Cluster (Northing),Topmost Cluster (Easting),Date of PLT/FGS,Water (bpd),Water Contri (%),Oil (bpd),Oil Contri (%),Gas (MSCFD),Gas Contri (%),BHP (psia),Reservoir Pressure (psia),Gas PI (SCFD/psi),No. of Contributing Clusters (during 1st PLT),First PLT Remark,Date of PLT/FGS_2,Water_2 (bpd),Water Contri_2 (%),Oil_2 (bpd),Oil Contri_2 (%),Gas_2 (MSCFD),Gas Contri_2 (%),BHP_2 (psia),Reservoir Pressure_2 (psia),Gas PI_2 (SCFD/psi),Secod PLT Remark,Date of PLT/FGS_3,Water_3 (bpd),Water Contri_3 (%),Oil_3 (bpd),Oil Contri_3 (%),Gas_3 (MSCFD),Gas Contri_3 (%),BHP_3 (psia),Reservoir Pressure_3 (psia),Gas PI_3 (SCFD/psi),PLT (2021-22) Remark
15-W,Raag-22,5,7,30/Dec/2015,Fatehgarh,4,24,30.3,0.82,0.83,"303,000","11,000",,"212,352 ","82,063 ","304,006 ",7.5,2295,2408,,,Yes,No,Yes,Yes,No,No,Yes,,,,2 SRT & SDT with LG & X-Linked. Temp survey post main frac,31.3,13%,27.3,32%,0.871,"9,716",,2832.4,2871.6,39.2,2813.5,2852.4,2749.1,835613.0,2517745.9,01-Feb-16,0.0,0.00%,27.1,12.65%,1201.2,13.56%,4022,5075,1140.5,3,,28-Sep-17,0.0,0.00%,9.0,2.82%,177.8,3.25%,3762,5075,135.3,,19-Dec-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,762,5075,0.0,
15-W,Raag-22,5,6,27/Dec/2015,Fatehgarh,3,24,35.4,N/A,0.82,"306,000","11,000",,"221,694 ","73,517 ","305,854 ",8.0,2325,2663,,,Yes,No,No,No,No,No,No,,,,,30.0,12%,32.1,37%,1.070,"10,199",,2901.0,2927.2,26.2,2881.6,2907.6,2817.2,835619.3,2517746.9,01-Feb-16,0.0,0.00%,116.0,54.23%,4792.8,54.10%,4050,5103,4551.8,2,,28-Sep-17,0.0,0.00%,89.7,28.11%,1536.3,28.11%,3788,5103,1168.6,,19-Dec-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,773,5103,0.0,
15-W,Raag-22,5,5,25/Dec/2015,Basalt,3,24,31.7,N/A,0.83,"317,000","11,000",,"213,113 ","93,840 ","317,196 ",7.8,2039,2408,,,Yes,No,No,No,No,No,Yes,,,,Temp survey post main frac,42.2,17%,6.0,7%,0.143,"7,518",,2961.7,3006.5,44.8,2941.9,2986.5,2877.5,835627.4,2517747.5,01-Feb-16,0.0,0.00%,40.8,19.09%,1675.3,18.91%,4076,5127,1594.8,2,,28-Sep-17,0.0,0.00%,78.0,24.43%,1343.5,24.58%,3812,5127,1022.1,,19-Dec-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,788,5127,0.0,
15-W,Raag-22,5,4,23/Dec/2015,Basalt,3,18,24.8,0.80,0.80,"157,000","4,806",,"67,815 ","84,536 ","156,300 ",8.2,1065,1213,,,Yes,No,No,No,No,Yes,Yes,,,,"2 temp survey, post Mini Frac & Main Frac",27.2,11%,3.5,4%,0.127,"5,753",,3057.9,3109.1,51.2,3037.7,3088.7,2973.3,835636.8,2517747.2,01-Feb-16,0.0,0.00%,14.9,6.96%,599.7,6.77%,4123,5165,575.6,1,,28-Sep-17,0.0,0.00%,38.1,11.93%,659.5,12.07%,3859,5165,504.9,,19-Dec-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,819,5165,0.0,
15-W,Raag-22,5,3,19/Dec/2015,Basalt,4,24,33.0,0.78,0.83,"269,000","11,000",,"154,118 ","104,373 ","269,349 ",6.5,2288,2522,,,Yes,No,Yes,Yes,No,No,Yes,,,,Temp survey post MF (data available but not plotted),60.9,25%,12.4,14%,0.204,"4,426",,3141.4,3191.0,49.6,3120.8,3170.2,3056.4,835644.7,2517746.3,01-Feb-16,0.0,0.00%,8.0,3.76%,320.9,3.62%,4164,5198,310.1,4,,28-Sep-17,0.0,0.00%,99.9,31.29%,1665.8,30.48%,3904,5198,1287.0,,19-Dec-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,849,5198,0.0,
15-W,Raag-22,5,2,15/Dec/2015,Basalt,3,24,20.2,N/A,0.81,"120,000","4,400",,"117,289 ",0 ,"121,689 ",9.8,1210,1316,,,Yes,No,No,No,No,No,Yes,,,,Temp survey post main frac. Surface PPA fluctuations observed during Job which was designed for max 7.0 PPA,28.8,12%,4.3,5%,0.148,"4,225",,3227.9,3256.8,28.9,3206.9,3235.6,3142.5,835651.3,2517744.8,01-Feb-16,56.9,37.46%,5.3,2.49%,203.4,2.30%,4236,5233,204.1,3,,28-Sep-17,0.0,0.00%,3.7,1.17%,68.1,1.25%,3980,5233,54.4,,19-Dec-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,927,5233,0.0,
15-W,Raag-22,5,1,11/Dec/2015,Felsic,3,36,22.2,0.77,S/O,"300,000","11,000",,"51,754 ",0 ,"46,812 ",5.3,1414,1473,,,Yes,Yes,Yes,Yes,No,No,No,,,,SRT & SDT with CTW. Cement milled zone. MF was pumped in 3 attempts. S/O at 5 PPA stage in 3rd attempt,25.6,10%,0.9,1%,0.037,"1,826",,3308.0,3326.2,18.2,3286.6,3304.7,3222.2,835658.0,2517743.5,01-Feb-16,95.0,62.54%,1.7,0.81%,66.7,0.75%,4327,5265,71.1,1,,28-Sep-17,23.6,100.00%,0.8,0.25%,13.9,0.25%,4064,5265,11.6,,19-Dec-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5265,#DIV/0!,
15-W,Raag-23,1,5,03/Mar/2016,Basalt,4,32,28.0,0.89,1.04,"253,000","8,026",,"114,241 ","132,242 ","254,000 ",7.5,2185,2424,,,Yes,No,Yes,Yes,No,No,No,,,,,29.5,21%,6.7,26%,0.228,"8,599",,2992.2,3056.8,64.6,2932.3,2996.1,2872.5,836633.0,2519424.0,15-Jul-16,56.5,16.32%,241.5,57.59%,3332.6,64.50%,3814,5123,2545.1,4,,23-Sep-17,0.0,0.00%,203.0,54.94%,3181.0,55.55%,3879,5123,2557.8,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5123,#DIV/0!,
15-W,Raag-23,1,4,28/Feb/2016,Basalt,6,56,21.4,0.90,1.13,"232,000","8,273",,"170,502 ","55,167 ","233,000 ",7.5,2159,2379,,,Yes,Yes,Yes,Yes,No,No,No,,,,"Refracced due to SO at 4ppa in 1st attempt, New Perfs were added, 36 klbs prop pumped in A-1",38.5,27%,6.9,27%,0.178,"6,047",,3077.2,3138.0,60.8,3016.2,3076.0,2956.3,836639.0,2519437.1,15-Jul-16,37.9,10.95%,158.8,37.86%,1698.8,32.88%,3860,5156,1310.6,4,,23-Sep-17,0.0,0.00%,142.3,38.50%,2184.2,38.14%,3921,5156,1768.2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5156,#DIV/0!,
15-W,Raag-23,1,3,19/Feb/2016,Basalt,4,32,29.4,0.89,1.13,"253,000",0,,"173,960 ",0 ,"173,960 ",9.4,1861,2147,,,Yes,No,Yes,Yes,No,No,No,,,,,36.7,26%,7.0,27%,0.192,"4,741",,3157.2,3198.8,41.6,3094.9,3135.8,3035.0,836644.1,2519447.0,15-Jul-16,75.3,21.77%,11.6,2.76%,90.6,1.75%,3937,5188,72.5,3,,23-Sep-17,0.0,0.00%,7.5,2.04%,119.6,2.09%,3997,5188,100.5,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5188,#DIV/0!,
