Well ,mTVDSS,Northing,Easting,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,BRIT_PR.                     :  Brittleness Index from Poisson's Ratio,BRIT_YM.                     :  Brittleness Index from Young's Modulus,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMBDA.                     :  Lambda,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,SHMAX_GRAD.                     :  Horizontal Stress Gradient (Max),SHMIN_GRAD.                     :  Horizontal Stress Gradient (Min),STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),UCS_LAL.PSI                  :  Uniaxial Compressive Strength (lal),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),Difference[PP-PWELL]
105,2859.970279,839184.8126,2516793.818,42.856,72.836,41.99,103.682,1345.696,58.023,104.001,13665.549,7624.176,27.097,27.097,70.491,22.345,0.274,9892.881,10055.544,6639.607,0.247,2360.213,2.47,1.631,11199.641,3752.15,6168.558,17234.486,1.792,9615.329,8.258,5.741,85.399117
105,2866.455911,839184.7692,2516793.804,40.688,52.922,28.21,77.634,1246.989,64.221,123.667,13175.489,6842.093,28.805,28.805,79.965,16.864,0.315,9917.951,10064.633,6984.314,0.284,2432.777,2.467,1.712,12034.181,2791.81,5433.275,15571.229,1.926,8086.212,6.434,4.13,86.408121
105,2872.937376,839184.7259,2516793.79,37.629,46.215,36.663,55.768,1118.094,73.707,135.53,10714.45,5826.958,18.099,18.099,46.893,13.105,0.29,9942.45,10100.394,6783.574,0.261,2700.933,2.47,1.659,12169.013,2075.277,4547.398,13567.325,1.839,7378.468,4.904,2.927,87.292125
105,2877.029554,839184.6986,2516793.782,39.811,43.574,24.602,62.547,1208.87,66.85,131.624,11887.236,6037.325,26.238,26.238,68.408,13.98,0.326,9958.205,10101.254,7097.232,0.294,1698.35,2.467,1.733,10791.163,2288.656,5162.582,14958.908,1.969,7597.375,5.378,3.285,87.875023
105,2878.733041,839184.6872,2516793.778,40.168,44.588,25.82,63.356,1224.268,65.771,128.507,11670.257,5972.93,25.749,25.749,64.843,14.167,0.323,9964.624,10109.44,7068.303,0.29,2395.771,2.467,1.725,12128.148,2314.67,5271.04,15204.245,1.954,7781.653,5.435,3.329,88.090816
105,2880.43742,839184.6758,2516793.774,40.395,51.895,33.51,70.279,1234.163,65.09,121.657,11715.438,6268.081,23.452,23.452,58.674,15.704,0.299,9971.629,10126.444,6875.326,0.27,2483.173,2.47,1.677,11916.997,2541.665,5341.373,15363.344,1.869,8219.81,5.92,3.71,88.393609
105,2882.142395,839184.6668,2516793.772,39.591,50.703,34.394,67.012,1199.477,67.519,125.609,11598.004,6234.354,22.1,22.1,56.779,15.128,0.297,9978.05,10134.147,6856.099,0.267,2616.607,2.47,1.671,12145.412,2433.517,5097.01,14810.579,1.86,7961.232,5.691,3.529,88.604914
105,2883.847668,839184.6633,2516793.775,41.539,60.099,35.621,84.576,1284.93,61.739,114.126,12769.294,6907.822,26.143,26.143,67.619,18.449,0.293,9984.473,10142.19,6830.14,0.264,2814.823,2.471,1.664,12489.926,3036.392,5710.02,16197.244,1.849,8762.245,6.92,4.54,88.812707
105,2885.552941,839184.6599,2516793.777,42.094,60.631,32.395,88.868,1310.223,60.155,113.112,13332.758,7090.583,29.343,29.343,77.21,19.107,0.303,9990.896,10144.755,6913.7,0.273,2466.626,2.47,1.683,11960.652,3191.732,5898.58,16623.777,1.88,8840.803,7.221,4.801,89.017547
105,2891.997496,839184.6468,2516793.787,44.164,81.516,38.069,124.963,1408.67,54.482,99.483,15575.392,8529.875,34.868,34.868,97.075,26.134,0.286,10015.426,10176.805,6787.843,0.257,2770.965,2.472,1.649,12317.616,4622.917,6663.771,18354.685,1.826,10051.958,9.747,7.202,89.810781
105,2903.179846,839184.6241,2516793.803,41.411,73.684,50.979,96.39,1279.155,62.108,107.158,12990.674,7529.37,20.919,20.919,55.375,21.417,0.247,10058.671,10236.459,6502.913,0.222,1740.855,2.477,1.574,9687.535,3471.582,5667.42,16100.882,1.725,9332.041,7.747,5.27,27.011445
105,2914.362494,839184.6218,2516793.845,43.935,76.507,36.522,116.492,1397.426,55.093,101.374,14966.999,8133.91,33.893,33.893,91.69,24.456,0.29,10101.362,10263.272,6863.163,0.261,2655.218,2.474,1.655,12236.763,4267.014,6573.855,18151.291,1.84,9864.433,9.155,6.605,29.180777
105,2925.547225,839184.6473,2516793.921,40.864,62.681,41.75,83.611,1254.76,63.702,114.305,12470.617,6949.88,22.605,22.605,58.915,18.532,0.275,10144.673,10314.363,6750.87,0.247,1383.748,2.477,1.621,9469.236,3001.877,5489.358,15698.095,1.794,8748.555,6.853,4.482,36.228523
105,2936.734635,839184.6728,2516793.997,42.377,53.622,24.729,82.514,1323.331,59.355,116.772,13279.717,6750.039,32.956,32.956,85.225,17.619,0.326,10187.429,10336.315,7209.714,0.293,1680.823,2.473,1.725,10981.074,2962.89,5997.593,16847.752,1.967,8563.66,6.776,4.417,43.47057
105,2947.925915,839184.6757,2516794.064,39.798,61.393,50.645,72.142,1208.304,66.89,115.56,10945.613,6335.684,16.454,16.454,39.525,16.711,0.248,10230.803,10413.594,6574.986,0.223,1402.688,2.482,1.567,9155.348,2604.132,5158.618,14949.94,1.728,8653.522,6.05,3.815,44.3185
105,2959.122552,839184.6751,2516794.131,41.449,66.98,46.885,87.076,1280.904,61.996,108.762,12158.725,6930.7,20.931,20.931,51.765,19.423,0.259,10273.621,10453.265,6680.761,0.233,2037.019,2.482,1.586,10635.559,3126.49,5680.302,16130.021,1.754,9194.413,7.095,4.691,44.972176
105,2970.324845,839184.6674,2516794.187,41.693,60.928,33.886,87.97,1291.917,61.296,114.337,13298.794,7129.465,28.118,28.118,75.199,19.006,0.298,10317.06,10481.688,7024.514,0.269,2662.337,2.479,1.661,12573.703,3158.974,5761.781,16314.332,1.865,8746.091,7.158,4.746,31.587086
105,2981.654535,839184.6423,2516794.216,42.059,58.859,29.257,88.461,1308.644,60.252,115.314,13681.072,7148.455,31.419,31.419,84.971,18.895,0.312,10360.531,10520.113,7168.896,0.281,1309.716,2.479,1.689,10157.225,3176.882,5886.711,16596.932,1.914,8672.011,7.192,4.776,32.008617
105,2993.096441,839184.6173,2516794.245,32.212,31.398,34.971,27.824,913.757,92.84,172.194,8221.706,4432.797,11.3,11.3,28.297,7.846,0.295,10404.035,10572.726,7030.234,0.266,1989.675,2.482,1.65,11239.817,1278.707,3311.32,10771.242,1.855,5807.4,2.948,1.591,32.297246
